id,name,maidenName,voiceType,yearsActiveStart,yearsActiveEnd,dateOfDeath,url
1,Jane Elizabeth Kempton,Twitchell,contralto,1850,1921,1922-03-13,https://en.wikipedia.org/wiki/Jenny_Twitchell_Kempton
2,Clara Louise Kellogg,,soprano,1861,1886,1916-05-13,https://en.wikipedia.org/wiki/Clara_Louise_Kellogg
3,"Amalia ""Minnie"" Mignon Hauck",,mezzo-soprano,1866,,1929-02-06,https://en.wikipedia.org/wiki/Minnie_Hauk
4,Annie Louise Cary,,contralto,1868,1882,1921-04-03,https://en.wikipedia.org/wiki/Annie_Louise_Cary
5,Julie Rosewald,Eichberg,soprano,1875,1902,1906-07-16,https://en.wikipedia.org/wiki/Julie_Rosewald
6,"Marie ""Selika"" Williams",Smith,coloratura soprano,1870s,1911,1937-05-19,https://en.wikipedia.org/wiki/Marie_Selika_Williams
7,Ada Adini,Schillinger,soprano,1876,,1924-02-22,https://en.wikipedia.org/wiki/Ada_Adini
8,Selma Kronold,,soprano,1877,1904,1920-10-09,https://en.wikipedia.org/wiki/Selma_Kronold
9,Jessie Fremont Bartlett,,contralto,1879,,1905-05-14,https://en.wikipedia.org/wiki/Jessie_Bartlett_Davis
10,"Emma ""Nevada""",Wixom,coloratura soprano,1880,1910,1940-06-20,https://en.wikipedia.org/wiki/Selma_Kronold
11,Matilda Sissieretta Jones,Joyner,soprano,1887,1899,1933-06-24,https://en.wikipedia.org/wiki/Sissieretta_Jones
12,Kate Condon,,contralto,1900,,1941-05-27,https://en.wikipedia.org/wiki/Kate_Condon
